Facility Name,CMS Certification Number (CCN),City,Total Performance Score,PY2020 Payment Reduction Percentage,"Ownership as of December 31, 2018"
HENDERSON DIALYSIS CENTER,452803,HENDERSON,55,0.50%,DAVITA
KIDNEY TREATMENT CENTER EAST,452804,SAN ANTONIO,65,0.00%,NOT A CHAIN
FRESENIUS MEDICAL CARE GRANBURY LLC,452805,GRANBURY,56,0.50%,FRESENIUS MEDICAL CARE
TEMPLE KIDNEY CENTER,452806,TEMPLE,79,0.00%,FRESENIUS MEDICAL CARE
"BIO-MEDICAL APPLICATIONS OF TEXAS, INC",452808,ORANGE,32,1.50%,FRESENIUS MEDICAL CARE
US RENAL CARE WEST EL PASO DIALYSIS,452809,EL PASO,67,0.00%,"US RENAL CARE, INC."
NORTH CENTRAL KIDNEY DISEASE CENTER,452811,SAN ANTONIO,70,0.00%,FRESENIUS MEDICAL CARE
FRESENIUS MEDICAL CARE HENDERSON COUNTY,452812,ATHENS,60,0.00%,FRESENIUS MEDICAL CARE
FMC DIALYSIS SERVICES VISTA DEL SOL,452813,EL PASO,47,1.00%,FRESENIUS MEDICAL CARE
FMC DIALYSIS SERVICES OF MCKINNEY,452814,MCKINNEY,51,0.50%,FRESENIUS MEDICAL CARE
BROADWAY KIDNEY DISEASE CENTER,452816,SAN ANTONIO,77,0.00%,FRESENIUS MEDICAL CARE
HARLINGEN DIALYSIS,452817,HARLINGEN,56,0.50%,"US RENAL CARE, INC."
TEXAS RENAL VENTURES,452819,FORT WORTH,56,0.50%,RENAL VENTURES MANAGEMENT
USRC MCALLEN DIALYSIS,452820,MCALLEN,62,0.00%,TRUCARE HEALTH CARE
KIRBY KIDNEY DISEASE CENTER,452821,KIRBY,61,0.00%,FRESENIUS MEDICAL CARE
DALLAS EAST DIALYSIS,452822,DALLAS,79,0.00%,DAVITA
US RENAL CARE LAREDO DIALYSIS,452823,LAREDO,52,0.50%,NOT A CHAIN
NNA - BASTROP,452825,BASTROP,63,0.00%,FRESENIUS MEDICAL CARE
FMC DIALYSIS SERVICES WAXAHACHIE,452826,WAXAHACHIE,64,0.00%,FRESENIUS MEDICAL CARE
NNA - MARBLE FALLS,452827,MARBLE FALLS,74,0.00%,NATIONAL  NEPHROLOGY ASSOCIATES
FMC DIALYSIS SERVICES SOUTHWESTERN,452828,DALLAS,75,0.00%,FRESENIUS MEDICAL CARE
KIDNEY TREATMENT CENTER NORTHWEST PA,452829,SAN ANTONIO,62,0.00%,NOT A CHAIN
KIDNEY CENTER OF JASPER,452830,JASPER,61,0.00%,AMERICAN RENAL ASSOCIATES
FMC DIALYSIS SERVICES WACO WEST,452831,WACO,76,0.00%,FRESENIUS MEDICAL CARE
DIALYSIS SERVICES OF GRAPEVINE,452832,SOUTHLAKE,62,0.00%,FRESENIUS MEDICAL CARE
KATY CINCO RANCH DIALYSIS,452833,KATY,48,1.00%,DAVITA
US RENAL CARE WEBSTER DIALYSIS,452834,HOUSTON,61,0.00%,"US RENAL CARE, INC."
BEAUMONT KIDNEY CENTER,452835,BEAUMONT,36,1.50%,AMERICAN RENAL ASSOCIATES
FMC HARLINGEN,452836,HARLINGEN,40,1.00%,FRESENIUS MEDICAL CARE
BIO-MEDICAL APPLICATIONS OF TEXAS INC.,452837,DEER PARK,72,0.00%,FRESENIUS MEDICAL CARE
USRC TARRANT DIALYSIS CENTER NORTH FORT WORTH,452838,FORT WORTH,55,0.50%,TARRANT DIALYSIS CENTERS
US RENAL CARE HOME THERAPIES,452840,HOUSTON,46,1.00%,"US RENAL CARE, INC."
DCI CENTER,452841,CENTER,71,0.00%,"DIALYSIS CLINIC, INC."
CHILDRENS DIALYSIS CLINIC OF CENTRAL TEXAS,452842,AUSTIN,80,0.00%,"DIALYSIS CLINIC, INC."
FMC DIALYSIS SERVICES OF DICKINSON,452844,DICKINSON,58,0.50%,FRESENIUS MEDICAL CARE
TRC PEARLAND DIALYSIS,452845,PEARLAND,52,0.50%,DAVITA
FMC DIALYSIS SERVICES OF NORTH BROWNSVILLE,452846,BROWNSVILLE,52,0.50%,FRESENIUS MEDICAL CARE
PIN OAK DIALYSIS,452847,KATY,66,0.00%,DAVITA
FMC DIALYSIS SERVICES PLAINVIEW,452848,PLAINVIEW,69,0.00%,FRESENIUS MEDICAL CARE
RCG MINEOLA DIALYSIS,452849,MINEOLA,77,0.00%,FRESENIUS MEDICAL CARE
FMC DIALYSIS SERVICES OF PEARLAND,452850,PEARLAND,69,0.00%,FRESENIUS MEDICAL CARE
US RENAL CARE GATEWAY DIALYSIS,452851,SAN ANTONIO,54,0.50%,"US RENAL CARE, INC."
SATELLITE HEALTHCARE SOUTHEAST LAREDO,452853,LAREDO,67,0.00%,SATELLITE HEALTHCARE
RENAL CARE GROUP - ROBSTOWN,452854,ROBSTOWN,79,0.00%,FRESENIUS MEDICAL CARE
USRC TARRANT DIALYSIS CENTER - GRAND PRAIRIE,452855,GRAND PRAIRIE,75,0.00%,TARRANT DIALYSIS CENTERS
"RENAL CENTER OF NEDERLAND, LLC",452856,PORT ARTHUR,72,0.00%,RENAL VENTURES MANAGEMENT
HOME KIDNEY CARE,452857,DALLAS,66,0.00%,RENAL VENTURES MANAGEMENT
MISSION HILLS DIALYSIS,452858,EL PASO,66,0.00%,DAVITA
JACKSONVILLE DIALYSIS CENTER,452859,JACKSONVILLE,71,0.00%,FRESENIUS MEDICAL CARE
SNG - SOHUM SOUTHEAST HOUSTON DIALYSIS CENTER LP,452860,HOUSTON,29,1.50%,OTHER
FMC DIALYSIS SERVICES OF ABILENE SOUTH,452861,ABILENE,74,0.00%,FRESENIUS MEDICAL CARE
FMC MEYERLAND,452862,HOUSTON,79,0.00%,FRESENIUS MEDICAL CARE
GRAND PRAIRIE DIALYSIS CENTER INC,452863,GRAND PRAIRIE,71,0.00%,AMERICAN RENAL ASSOCIATES
FMC DIALYSIS SERVICES OF SOUTHWEST SAN ANTONIO,452864,SAN ANTONIO,77,0.00%,FRESENIUS MEDICAL CARE
FMC DIALYSIS SERVICES OF INGRAM,452865,SAN ANTONIO,53,0.50%,FRESENIUS MEDICAL CARE
AMARILLO DIALYSIS,452866,AMARILLO,42,1.00%,DAVITA
RENAL CENTER OF TYLER,452867,TYLER,58,0.50%,RENAL VENTURES MANAGEMENT
BROOKHOLLOW DIALYSIS,452868,HOUSTON,68,0.00%,DAVITA
SUGARLAND DIALYSIS,452869,SUGAR LAND,22,2.00%,NOT A CHAIN
US RENAL CARE MID VALLEY WESLACO DIALYSIS,452870,WESLACO,60,0.00%,"US RENAL CARE, INC."
VALLEY DIALYSIS OF MCALLEN,452872,MCALLEN,47,1.00%,"US RENAL CARE, INC."
ODESSA DIALYSIS,452873,ODESSA,61,0.00%,DAVITA
DAVITA PHYSICIANS DIALYSIS NORTH HOUSTON,452875,HOUSTON,52,0.50%,DAVITA
"SNG-RENAL SOLUTIONS DIALYSIS CENTER, LP",452877,HOUSTON,27,2.00%,OTHER
MATAGORDA DIALYSIS CARE,452878,BAY CITY,58,0.50%,AMERICAN RENAL ASSOCIATES
BEECHNUT DIALYSIS,452880,HOUSTON,31,1.50%,NOT A CHAIN
"SATELLITE HEALTH CARE, INC.",452881,ROUND ROCK,51,0.50%,SATELLITE HEALTHCARE
FRESENIUS MEDICAL CARE TYLER HOME DIALYSIS,452882,TYLER,54,0.50%,FRESENIUS MEDICAL CARE
RENAL CARE GROUP-SOUTHEAST TYLER,452883,TYLER,53,0.50%,FRESENIUS MEDICAL CARE
DALLAS NORTH DIALYSIS CENTER,452884,DALLAS,58,0.50%,DAVITA
TRC KILGORE DIALYSIS CENTER,452885,KILGORE,49,0.50%,DAVITA
DAVITA PHYSICIANS DIALYSIS SOUTH HOUSTON,452886,HOUSTON,54,0.50%,DAVITA
RENAL CENTER OF CARROLLTON,452887,CARROLLTON,50,0.50%,RENAL VENTURES MANAGEMENT
CUERO LAKEVIEW KIDNEY CENTER LLC,452889,CUERO,55,0.50%,DAVITA
USRC EDINBURG,452890,EDINBURG,79,0.00%,"US RENAL CARE, INC."
RENAL CARE GROUP - GILMER,452891,GILMER,48,1.00%,FRESENIUS MEDICAL CARE
SOUTH AUSTIN DIALYSIS LLC,452892,AUSTIN,51,0.50%,DAVITA
PINECREST DIALYSIS CENTER,452893,MARSHALL,52,0.50%,DAVITA
OAK CLIFF DIALYSIS,452894,DALLAS,85,0.00%,DAVITA
US RENAL CARE BANDERA ROAD DIALYSIS,452895,SAN ANTONIO,68,0.00%,"US RENAL CARE, INC."
USRC TARRANT DIALYSIS CENTER MANSFIELD,452896,MANSFIELD,48,1.00%,TARRANT DIALYSIS CENTERS
GILMER DIALYSIS,452897,GILMER,62,0.00%,DAVITA
RIVER PARK DIALYSIS,452898,CONROE,55,0.50%,DAVITA
DOWNTOWN HOUSTON DIALYSIS CENTER,452899,HOUSTON,65,0.00%,DAVITA
"GILWARDS DIALYSIS, LLC",452947,CORPUS CHRISTI,21,2.00%,DAVITA
UNIVERSITY DIALYSIS WEST,453500,SAN ANTONIO,90,0.00%,STATE OWNED
SCOTT & WHITE KILLEEN DIALYSIS CENTER,453501,KILLEEN,65,0.00%,SCOTT & WHITE MEMORIAL HOSPITAL
SCOTT & WHITE ARTIFICAL KIDNEY UNIT,453502,TEMPLE,42,1.00%,SCOTT & WHITE MEMORIAL HOSPITAL
SCOTT & WHITE ROUND ROCK DIALYSIS CENTER,453503,ROUND ROCK,61,0.00%,SCOTT & WHITE MEMORIAL HOSPITAL
UNIVERSITY DIALYSIS SOUTHEAST,453504,SAN ANTONIO,83,0.00%,STATE OWNED
SCOTT & WHITE KILLEEN DIALYSIS WEST,453509,KILLEEN,40,1.00%,SCOTT & WHITE MEMORIAL HOSPITAL
RIVERSIDE DIALYSIS CENTER,453511,HOUSTON,67,0.00%,NOT A CHAIN
UNIVERSITY DIALYSIS SOUTH,453512,SAN ANTONIO,88,0.00%,STATE OWNED
UNIVERSITY DIALYSIS NORTHWEST,453513,SAN ANTONIO,84,0.00%,STATE OWNED
DRISCOLL CHILDREN'S VALLEY DIALYSIS CENTER,453516,MCALLEN,42,1.00%,NOT A CHAIN
462307 LOGAN REGIONAL HOSPITAL DIALYSIS CENTER,462307,LOGAN,76,0.00%,INTERMOUNTAIN HEALTHCARE
462308 TOOELE VALLEY DIALYSIS CENTER,462308,TOOELE,96,0.00%,INTERMOUNTAIN HEALTHCARE
462311 HEBER VALLEY DIALYSIS,462311,HEBER CITY,94,0.00%,INTERMOUNTAIN HEALTHCARE
462319 BLUE MOUNTAIN HOSPITAL DIALYSIS,462319,BLANDING,71,0.00%,NOT A CHAIN
462320 PRIMARY CHILDREN'S DIALYSIS CENTER,462320,SALT LAKE CITY,59,0.00%,INTERMOUNTAIN HEALTHCARE
462500 FARMINGTON BAY DIALYSIS CENTER,462500,LAYTON,96,0.00%,UNIVERSITY OF UTAH DIALYSIS PROGRAM
462503 KOLFF DIALYSIS CENTER/UNIV. OF UTAH,462503,SALT LAKE CITY,71,0.00%,UNIVERSITY OF UTAH DIALYSIS PROGRAM
462504 UNIVERSITY OF UTAH PROVO DIALYSIS CENTER,462504,PROVO,69,0.00%,UNIVERSITY OF UTAH DIALYSIS PROGRAM
462510 CASTLEVIEW DIALYSIS,462510,PRICE,86,0.00%,UNIVERSITY OF UTAH DIALYSIS PROGRAM
462511 DIXIE DIALYSIS CENTER,462511,SAINT GEORGE,71,0.00%,UNIVERSITY OF UTAH DIALYSIS PROGRAM
462518 SOUTH VALLEY DIALYSIS CENTER,462518,SANDY,80,0.00%,UNIVERSITY OF UTAH DIALYSIS PROGRAM
462519 BONNEVILLE DIALYSIS CENTER,462519,OGDEN,72,0.00%,UNIVERSITY OF UTAH DIALYSIS PROGRAM
462520 WEST BOUNTIFUL DIALYSIS (DVA),462520,WEST BOUNTIFUL,96,0.00%,DAVITA
462521 LAKESIDE DIALYSIS CENTER,462521,BOUNTIFUL,78,0.00%,UNIVERSITY OF UTAH DIALYSIS PROGRAM
462524 TIMPANOGOS DIALYSIS CENTER (DVA),462524,PROVO,77,0.00%,DAVITA
462525 UTAH VALLEY DIALYSIS (DVA),462525,PROVO,75,0.00%,DAVITA
462528 IRON MISSION DIALYSIS CENTER,462528,CEDAR CITY,66,0.00%,UNIVERSITY OF UTAH DIALYSIS PROGRAM
462529 OQUIRRH ARTIFICIAL KIDNEY CENTER,462529,TAYLORSVILLE,74,0.00%,NOT A CHAIN
462530 FRESENIUS KIDNEY CARE WASATCH,462530,SALT LAKE CITY,68,0.00%,FRESENIUS MEDICAL CARE
462532 SOUTH MOUNTAIN DIALYSIS,462532,SOUTH JORDAN,86,0.00%,FRESENIUS MEDICAL CARE
462533 WEST VALLEY DIALYSIS CLINIC,462533,TAYLORSVILLE,47,1.00%,UNIVERSITY OF UTAH DIALYSIS PROGRAM
462534 AMERICAN FORK DIALYSIS CENTER,462534,AMERICAN FORK,90,0.00%,UNIVERSITY OF UTAH DIALYSIS PROGRAM
462535 LONE PEAK DIALYSIS (DVA),462535,AMERICAN FORK,65,0.00%,DAVITA
462536 HURRICANE DIALYSIS CENTER,462536,HURRICANE,63,0.00%,UNIVERSITY OF UTAH DIALYSIS PROGRAM
462537 LIBERTY DIALYSIS - LAYTON (FMC),462537,LAYTON,68,0.00%,FRESENIUS MEDICAL CARE
462538 LIBERTY DIALYSIS - WOODSCROSS (FMC),462538,BOUNTIFUL,84,0.00%,LIBERTY DIALYSIS HAWAII
462539 WEBER VALLEY DIALYSIS (DVA),462539,OGDEN,84,0.00%,DAVITA
462540 LIBERTY DIALYSIS - OGDEN (FMC),462540,OGDEN,72,0.00%,FRESENIUS MEDICAL CARE
462541 PLEASANT VIEW DIALYSIS CENTER,462541,OGDEN,82,0.00%,UNIVERSITY OF UTAH DIALYSIS PROGRAM
462542 LIBERTY DIALYSIS - ST GEORGE (FMC),462542,SAINT GEORGE,79,0.00%,FRESENIUS MEDICAL CARE
462543 PAYSON REGIONAL DIALYSIS,462543,PAYSON,69,0.00%,UNIVERSITY OF UTAH DIALYSIS PROGRAM
462544 MARK LINDSAY DIALYSIS CENTER,462544,OGDEN,77,0.00%,UNIVERSITY OF UTAH DIALYSIS PROGRAM
462545 LIBERTY DIALYSIS WEST JORDAN (FMC),462545,WEST JORDAN,87,0.00%,LIBERTY DIALYSIS HAWAII
462546 FMC-RIVERTON LLC,462546,RIVERTON,89,0.00%,FRESENIUS MEDICAL CARE
462547 LIBERTY DIALYSIS SOUTH OGDEN HOME,462547,OGDEN,68,0.00%,FRESENIUS MEDICAL CARE
462548-FMC-CEDAR CITY,462548,CEDAR CITY,69,0.00%,FRESENIUS MEDICAL CARE
462549-FRESENIUS KIDNEY CARE WEST SALT LAKE,462549,WEST VALLEY CITY,66,0.00%,FRESENIUS MEDICAL CARE
462550-FRESENIUS KIDNEY CARE-PLEASANT VIEW,462550,FARR WEST,25,2.00%,FRESENIUS MEDICAL CARE
462551-DAVITA MT. NEBO DIALYSIS,462551,SALEM,51,0.50%,DAVITA
463501 INTERMOUNTAIN MEDICAL CENTER DIALYSIS SERVICES,463501,MURRAY,75,0.00%,INTERMOUNTAIN HEALTHCARE
463502 UTAH DIALYSIS LAB,463502,SALT LAKE CITY,75,0.00%,INTERMOUNTAIN HEALTHCARE
463504 SEVIER VALLEY DIALYSIS,463504,RICHFIELD,97,0.00%,INTERMOUNTAIN HEALTHCARE
463505 UINTAH BASIN MED CTR DIALYSIS - ROOSEVELT,463505,ROOSEVELT,52,0.50%,NOT A CHAIN
463506 UINTAH BASIN MED CTR DIALYSIS- VERNAL,463506,VERNAL,70,0.00%,NOT A CHAIN
UNIVERSITY OF VERMONT MEDICAL CENTER INC,472300,BURLINGTON,53,0.50%,NOT A CHAIN
SOUTHWESTERN VERMONT RENAL CENTER,472500,BENNINGTON,61,0.00%,NOT A CHAIN
FMC OF ST. JOHNSBURY DIALYSIS,472501,SAINT JOHNSBURY,52,0.50%,FRESENIUS MEDICAL CARE
UNIVERSITY OF VERMONT MEDICAL CENTER DIALYSIS BERLIN,473500,BARRE,56,0.50%,NOT A CHAIN
UNIVERSITY OF VERMONT MEDICAL CENTER DIALYSIS RUTLAND,473501,RUTLAND,73,0.00%,NOT A CHAIN
UNIVERSITY OF VERMONT MEDICAL CENTER DIALYSIS ST. ALBANS,473502,SAINT ALBANS,74,0.00%,NOT A CHAIN
UNIVERSITY OF VERMONT MEDICAL CENTER DIALYSIS SOUTH BURLI,473503,SOUTH BURLINGTON,43,1.00%,NOT A CHAIN
UNIVERSITY OF VERMONT MEDICAL CENTER DIALYSIS NEWPORT,473504,NEWPORT,52,0.50%,NOT A CHAIN
UNIVERSITY OF VIRGINIA HOSPITAL,492301,CHARLOTTESVILLE,35,1.50%,STATE OWNED
VCU MEDICAL CENTER,492303,RICHMOND,29,1.50%,STATE OWNED
CHILDRENS HOSPITAL OF KINGS DAUGHTERS,492321,NORFOLK,81,0.00%,NOT A CHAIN
RENAL CARE GROUP - DANVILLE,492501,DANVILLE,43,1.00%,FRESENIUS MEDICAL CARE
TIDEWATER RENAL DIALYSIS CENTER,492502,NORFOLK,58,0.50%,FRESENIUS MEDICAL CARE
BMA - WEST END,492503,RICHMOND,58,0.50%,FRESENIUS MEDICAL CARE
FAIRFAX DIALYSIS CENTER,492504,FAIRFAX,78,0.00%,FRESENIUS MEDICAL CARE
ALEXANDRIA KIDNEY CENTER,492505,ALEXANDRIA,66,0.00%,FRESENIUS MEDICAL CARE
THREE CHOPT DIALYSIS,492506,RICHMOND,68,0.00%,DAVITA
DAVITA - HARRISONBURG DIALYSIS,492507,HARRISONBURG,63,0.00%,DAVITA
FREDERICKSBURG DIALYSIS CENTER,492508,FREDERICKSBURG,67,0.00%,FRESENIUS MEDICAL CARE
BMA - ROANOKE-SALEM DIALYSIS,492513,SALEM,50,0.50%,FRESENIUS MEDICAL CARE
RENAL CARE GROUP - SOUTH BOSTON,492516,SOUTH BOSTON,53,0.50%,FRESENIUS MEDICAL CARE
CAMELOT DIALYSIS CENTER,492517,VIRGINIA BEACH,63,0.00%,DAVITA
CDC - WOODBRIDGE,492521,WOODBRIDGE,66,0.00%,DAVITA
COVINGTON DIALYSIS,492522,COVINGTON,70,0.00%,DAVITA
WINCHESTER DIALYSIS,492523,WINCHESTER,68,0.00%,DAVITA
BMA - NASSAWADOX,492524,NASSAWADOX,54,0.50%,FRESENIUS MEDICAL CARE
FMC - WARRENTON,492525,WARRENTON,66,0.00%,FRESENIUS MEDICAL CARE
BMA - FARMVILLE,492526,FARMVILLE,61,0.00%,FRESENIUS MEDICAL CARE
RENAL CARE GROUP - MARTINSVILLE,492527,MARTINSVILLE,67,0.00%,FRESENIUS MEDICAL CARE
DAVITA - STAUNTON,492528,STAUNTON,65,0.00%,DAVITA
BMA - TWIN COUNTY,492529,GALAX,74,0.00%,FRESENIUS MEDICAL CARE
ARTIFICIAL KIDNEY CENTER - SUFFOLK,492530,SUFFOLK,64,0.00%,FRESENIUS MEDICAL CARE
BMA - SOUTHWEST VIRGINIA,492531,GRUNDY,71,0.00%,FRESENIUS MEDICAL CARE
BMA - NEW RIVER VALLEY,492532,RADFORD,57,0.50%,FRESENIUS MEDICAL CARE
BMA - MOUNTAIN EMPIRE,492533,NORTON,56,0.50%,FRESENIUS MEDICAL CARE
TOTAL RENAL CARE - EAST END,492534,RICHMOND,45,1.00%,DAVITA
CDC - SPRINGFIELD,492535,SPRINGFIELD,84,0.00%,DAVITA
TAPPAHANNOCK DIALYSIS CENTER,492536,TAPPAHANNOCK,74,0.00%,FRESENIUS MEDICAL CARE
NORFOLK DIALYSIS CENTER,492537,NORFOLK,69,0.00%,DAVITA
CHESAPEAKE KIDNEY CENTER,492538,CHESAPEAKE,87,0.00%,FRESENIUS MEDICAL CARE
LEXINGTON DIALYSIS,492539,LEXINGTON,78,0.00%,DAVITA
CDC - STERLING/DULLES,492541,STERLING,63,0.00%,DAVITA
DAVITA - CULPEPER,492543,CULPEPER,67,0.00%,DAVITA
TOTAL RENAL CARE - CHESAPEAKE,492545,CHESAPEAKE,67,0.00%,DAVITA
BMA - GILES,492546,PEARISBURG,83,0.00%,FRESENIUS MEDICAL CARE
BMA - NORTH ROANOKE,492548,ROANOKE,57,0.50%,FRESENIUS MEDICAL CARE
CDC - MANASSAS,492549,MANASSAS,80,0.00%,DAVITA
MEHERRIN DIALYSIS CENTER,492551,EMPORIA,72,0.00%,DAVITA
RAI - THIMBLE SHOALS-NEWPORT NEWS,492552,NEWPORT NEWS,55,0.50%,FRESENIUS MEDICAL CARE
RAI - GOODE WAY-PORTSMOUTH,492554,PORTSMOUTH,60,0.00%,FRESENIUS MEDICAL CARE
DAVITA - HIOAKS DIALYSIS,492556,RICHMOND,73,0.00%,DAVITA
BMA - BLUE RIDGE,492558,BEDFORD,52,0.50%,FRESENIUS MEDICAL CARE
DAVITA - ARLINGTON,492559,ARLINGTON,62,0.00%,DAVITA
DAVITA - MARTINSVILLE DIALYSIS,492560,MARTINSVILLE,47,1.00%,DAVITA
RAI - MECHANICSVILLE TRNPK-RICHMOND,492561,RICHMOND,60,0.00%,FRESENIUS MEDICAL CARE
CDC - ALEXANDRIA,492562,ALEXANDRIA,79,0.00%,DAVITA
TOTAL RENAL CARE - HOPEWELL,492563,HOPEWELL,43,1.00%,DAVITA
DAVITA - CHARLOTTESVILLE,492564,CHARLOTTESVILLE,62,0.00%,DAVITA
BMA - FRANKLIN COUNTY,492565,ROCKY MOUNT,56,0.50%,FRESENIUS MEDICAL CARE
KEMPSVILLE DIALYSIS CENTER,492567,NORFOLK,58,0.50%,FRESENIUS MEDICAL CARE
BMA - CRYSTAL SPRING,492570,ROANOKE,50,0.50%,FRESENIUS MEDICAL CARE
BMA - RUSSELL COUNTY,492572,LEBANON,52,0.50%,FRESENIUS MEDICAL CARE
FRONT ROYAL DIALYSIS,492573,FRONT ROYAL,67,0.00%,DAVITA
DAVITA - NEWPORT NEWS,492574,NEWPORT NEWS,44,1.00%,DAVITA
DAVITA - VIRGINIA BEACH,492575,VIRGINIA BEACH,78,0.00%,DAVITA
SOUTHAMPTON DIALYSIS CENTER,492576,FRANKLIN,89,0.00%,FRESENIUS MEDICAL CARE
BMA - WYTHEVILLE,492578,WYTHEVILLE,40,1.00%,FRESENIUS MEDICAL CARE
BMA - GARRISONVILLE,492579,STAFFORD,81,0.00%,FRESENIUS MEDICAL CARE
DAVITA - TYSONS CORNER,492580,VIENNA,70,0.00%,DAVITA
RAI - CHURCHLAND-CHESAPEAKE,492581,PORTSMOUTH,45,1.00%,FRESENIUS MEDICAL CARE
DAVITA - AMELIA,492583,AMELIA,59,0.00%,DAVITA
FMC - FORT BELVOIR,492587,ALEXANDRIA,90,0.00%,FRESENIUS MEDICAL CARE
BMA - GREATER NORFOLK,492588,NORFOLK,62,0.00%,FRESENIUS MEDICAL CARE
DAVITA - ALEXANDRIA,492589,ALEXANDRIA,63,0.00%,DAVITA
WESTHAMPTON DIALYSIS CENTER LLC,492590,RICHMOND,48,1.00%,AMERICAN RENAL ASSOCIATES
TOTAL RENAL CARE - FAIRFAX,492591,FAIRFAX,70,0.00%,DAVITA
RAI - AIRLINE-PORTSMOUTH 7253,492592,PORTSMOUTH,54,0.50%,FRESENIUS MEDICAL CARE
BMA - BOWLING GREEN,492593,BOWLING GREEN,73,0.00%,FRESENIUS MEDICAL CARE
APPOMATTOX DIALYSIS CENTER,492594,PETERSBURG,59,0.00%,DAVITA
FMC - MONTGOMERY,492595,BLACKSBURG,58,0.50%,FRESENIUS MEDICAL CARE
FMC - POTOMAC MILLS,492596,WOODBRIDGE,85,0.00%,FRESENIUS MEDICAL CARE
DAVITA - HENRICO COUNTY,492598,RICHMOND,71,0.00%,DAVITA
TOTAL RENAL CARE - RICHMOND COMMUNITY,492599,RICHMOND,53,0.50%,DAVITA
RAI - WEST LEIGH-RICHMOND,492600,RICHMOND,48,1.00%,FRESENIUS MEDICAL CARE
RENAL CAREPARTNERS - ARLINGTON/ALEXANDRIA,492602,ARLINGTON,65,0.00%,RENAL CARE PARTNERS
ARA - MECHANICSVILLE DIALYSIS,492603,MECHANICSVILLE,62,0.00%,AMERICAN RENAL ASSOCIATES
GREAT BRIDGE DIALYSIS CENTER,492604,CHESAPEAKE,72,0.00%,DAVITA
DAVITA - MECHANICSVILLE,492605,MECHANICSVILLE,68,0.00%,DAVITA
DAVITA - CHESTER DIALYSIS,492607,CHESTER,56,0.50%,DAVITA
DAVITA - MIDLOTHIAN DIALYSIS,492608,MIDLOTHIAN,52,0.50%,DAVITA
FMC - FRIENDSHIP MANOR,492610,ROANOKE,68,0.00%,FRESENIUS MEDICAL CARE
RENAL CAREPARTNERS OF RESTON LLC,492615,RESTON,61,0.00%,RENAL CARE PARTNERS
PORTSMOUTH DIALYSIS CENTER,492616,PORTSMOUTH,48,1.00%,DAVITA
PENINSULA DIALYSIS CENTER,492617,NEWPORT NEWS,52,0.50%,DAVITA
DAVITA - GREATER PORTSMOUTH,492618,PORTSMOUTH,50,0.50%,DAVITA
DAVITA - RADFORD DIALYSIS,492619,RADFORD,63,0.00%,DAVITA
RENAL CAREPARTNERS - FAIRFAX,492620,FAIRFAX,70,0.00%,RENAL CARE PARTNERS
US RENAL CARE - WARSAW,492622,WARSAW,68,0.00%,"US RENAL CARE, INC."
FRANCONIA DIALYSIS CENTER,492623,ALEXANDRIA,66,0.00%,DAVITA
RESTON DIALYSIS CENTER,492625,HERNDON,84,0.00%,DAVITA
FAIR OAKS DIALYSIS,492626,FAIRFAX,74,0.00%,DAVITA
US RENAL CARE - ASHLAND,492627,ASHLAND,69,0.00%,"US RENAL CARE, INC."
FOREST PARK DIALYSIS CENTER,492628,RICHMOND,57,0.50%,AMERICAN RENAL ASSOCIATES
LEIGH DIALYSIS CENTER,492629,NORFOLK,57,0.50%,DAVITA
FMC - ABINGDON,492630,ABINGDON,75,0.00%,FRESENIUS MEDICAL CARE
FMC - VIRGINIA BEACH,492631,VIRGINIA BEACH,70,0.00%,FRESENIUS MEDICAL CARE
FMC - PRINCE WILLIAM COUNTY DIALYSIS,492632,MANASSAS,60,0.00%,FRESENIUS MEDICAL CARE
DOMINION DIALYSIS CENTER,492633,CHESAPEAKE,81,0.00%,FRESENIUS MEDICAL CARE
LIBERTY DIALYSIS PETERSBURG,492634,PETERSBURG,44,1.00%,FRESENIUS MEDICAL CARE
ADVANCED DIALYSIS CENTER - POTOMAC,492635,ARLINGTON,62,0.00%,NOT A CHAIN
CHARLOTTESVILLE NORTH DIALYSIS,492636,CHARLOTTESVILLE,73,0.00%,DAVITA
DAVITA - GARRISONVILLE,492637,STAFFORD,82,0.00%,DAVITA
FMC - LORTON,492639,LORTON,92,0.00%,FRESENIUS MEDICAL CARE
RAI - MERCURY BLVD-HAMPTON,492640,HAMPTON,35,1.50%,FRESENIUS MEDICAL CARE
RAI - SOUTH CHURCH-SMITHFIELD,492641,SMITHFIELD,57,0.50%,FRESENIUS MEDICAL CARE
RAI - JOHN TYLER HWY-WILLIAMSBURG,492643,WILLIAMSBURG,63,0.00%,FRESENIUS MEDICAL CARE
RAI - CHESAPEAKE-NEWPORT NEWS,492645,NEWPORT NEWS,45,1.00%,FRESENIUS MEDICAL CARE
RAI - MEDICAL DRIVE-GLOUCESTER,492646,GLOUCESTER,59,0.00%,FRESENIUS MEDICAL CARE
RENAL CAREPARTNERS - WOODBRIDGE,492647,WOODBRIDGE,66,0.00%,RENAL CARE PARTNERS
SOUTH LABURNUM DIALYSIS LLC,492648,RICHMOND,58,0.50%,AMERICAN RENAL ASSOCIATES
FMC - SPOTSYLVANIA,492649,FREDERICKSBURG,55,0.50%,FRESENIUS MEDICAL CARE
CHARTER COLONY DIALYSIS CENTER,492650,MIDLOTHIAN,69,0.00%,DAVITA
